"dorm","address"
"Alderman","101 RALEIGH ST"
"Alexander","207 RALEIGH ST"
"Avery","295 RIDGE RD"
"Carmichael","101 STADIUM DR"
"Cobb","110 COUNTRY CLUB RD"
"Connor","281 RALEIGH ST"
"Craige","555 PAUL HARDIN DR"
"Craige North","515 PAUL HARDIN DR"
"Ehringhaus","450 EHRINGHAUS DR"
"Everett","201 RALEIGH ST"
"Graham","102 COUNTRY CLUB RD"
"Grimes","101 EMERSON DR"
"Hardin","495 PAUL HARDIN DR"
"Hinton James","515 HINTON JAMES DR"
"Horton","411 SKIPPER BOWLES DR"
"Joyner","205 RALEIGH ST"
"Kenan","112 BATTLE LN"
"Koury","480 EHRINGHAUS DR"
"Lewis","203 RALEIGH ST"
"Mangum","204 RALEIGH ST"
"Manly","200 RALEIGH ST"
"McClinton","100 COUNTRY CLUB RD"
"McIver","103 RALEIGH ST"
"Morrison","445 PAUL HARDIN DR"
"Old East","203 E CAMERON AVE"
"Old West","193 E CAMERON AVE"
"Parker","109 STADIUM DR"
"Spencer","100 RALEIGH ST"
"Stacy","104 COUNTRY CLUB RD"
"Teague","105 STADIUM DR"
"Thomas Ruffin, Jr.","103 EMERSON DR"
"Winston","301 SOUTH RD"
"Ram Village 1","560 PAUL HARDIN DR"
"Ram Village 2","550 PAUL HARDIN DR"
"Ram Village 3","540 PAUL HARDIN DR"
"Taylor","510 WILLIAMSON DR"
"Ram Village 5","520 WILLIAMSON DR"
